date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-01,14,Fixed-All Over JH-15,Fixed,1800,1714,AM Upper Chutia RNC,382,06:22,360,840,06:00,14:00,981
2026-01-01,14,Fixed-All Over JH-15,Fixed,1800,1714,AM Chutia Main Road RNC,397,06:37,360,840,06:00,14:00,1190
2026-01-01,14,Fixed-All Over JH-15,Fixed,1800,1714,AM Panchmukhi Mandir Dhurwa RNC,423,07:03,360,840,06:00,14:00,1714
2026-01-02,0,Fixed-All Over JH-1,Fixed,2000,1799,ASM AG Colony Kadru,439,07:19,360,480,06:00,08:00,185
2026-01-02,0,Fixed-All Over JH-1,Fixed,2000,1799,AM Hindpiri RNC,456,07:36,360,480,06:00,08:00,480
2026-01-02,0,Fixed-All Over JH-1,Fixed,2000,1799,AM TAGORE HILL RNC,480,08:00,480,600,08:00,10:00,1069
2026-01-02,0,Fixed-All Over JH-1,Fixed,2000,1799,ASM Adalhatu Morabadi,497,08:17,420,540,07:00,09:00,1799
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM New Chunabhatta RNC,360,06:00,360,480,06:00,08:00,1221
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM JP Market Dhurwa RNC,391,06:31,360,480,06:00,08:00,1947
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM Hinoo Chowk RNC,451,07:31,360,480,06:00,08:00,1681
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM Pe Pee Compound RNC,522,08:42,420,540,07:00,09:00,299
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM Upper Chutia RNC,576,09:36,480,600,08:00,10:00,494
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM Old Argora RNC,660,11:00,660,780,11:00,13:00,1039
2026-01-02,1,Fixed-All Over JH-2,Fixed,2000,5499,AM New Piper Toli RNC,698,11:38,720,840,12:00,14:00,1499
2026-01-02,2,Fixed-All Over JH-3,Fixed,2000,1963,AM Kusai Colony RNC,491,08:11,420,540,07:00,09:00,999
2026-01-02,2,Fixed-All Over JH-3,Fixed,2000,1963,AM Lalpur RNC,574,09:34,480,600,08:00,10:00,1340
2026-01-02,2,Fixed-All Over JH-3,Fixed,2000,1963,AM New Itki Rd ITI Bus Stand RNC,660,11:00,660,780,11:00,13:00,1660
2026-01-02,2,Fixed-All Over JH-3,Fixed,2000,1963,AM New Devi Mandap RNC,692,11:32,720,840,12:00,14:00,1963
